dataset	x	y
bullseye	51.8720726696	85.8297376348
bullseye	48.1799307865	85.0451167372
bullseye	41.6832004024	84.0179406019
bullseye	37.8904155015	82.5674929978
bullseye	39.5489736947	80.812601774
bullseye	39.6495738769	82.6645338713
bullseye	34.7505970472	80.0110909897
bullseye	27.560835291	72.8478255927
bullseye	24.6355399754	71.6107148256
bullseye	20.9594648125	66.0414983826
bullseye	20.6891490538	62.7213052064
bullseye	19.2882047369	62.0630593582
bullseye	20.0245005746	61.3426238695
bullseye	35.4695229971	43.1158849517
bullseye	36.8943276507	47.7065559687
bullseye	39.0555497751	55.5469737131
bullseye	46.9570801494	65.2404073935
bullseye	37.3104527352	45.2587508999
bullseye	40.0096720019	60.9865825077
bullseye	48.0143866846	65.7128195934
bullseye	53.7037759268	66.3894820363
bullseye	63.0674998921	64.0350004581
bullseye	62.0480325076	63.8458632494
bullseye	59.8399667124	64.4767644437
bullseye	55.1609418175	65.2373081694
bullseye	61.2797865792	65.766402504
bullseye	60.8349175348	64.6037697063
bullseye	61.5205906458	64.7918550418
bullseye	36.916543863	41.0952474383
bullseye	38.5021996714	41.5671556174
bullseye	48.6643707344	30.6806668519
bullseye	50.2852524042	30.3379221051
bullseye	42.276332666	34.5276361236
bullseye	54.0317756204	29.6723483149
bullseye	37.3293552552	39.6020423074
bullseye	41.389522551	37.2960562328
bullseye	40.0746666572	34.6236852027
bullseye	35.3496806211	47.1410731332
bullseye	34.7637004189	47.6247999245
bullseye	37.0266294472	44.4622930512
bullseye	36.4555695327	40.791843032
bullseye	35.5376642131	48.7293868661
bullseye	20.4089478892	32.2030304205
bullseye	23.4957104659	25.3224681542
bullseye	29.5575433634	21.3647774591
bullseye	33.0082339121	15.9850714584
bullseye	53.9803991821	29.3509867092
bullseye	52.2343086004	29.7116729865
bullseye	59.5030766063	30.6696739448
bullseye	41.1637810689	34.3157582514
bullseye	48.9930401201	32.0303588363
bullseye	59.2692803248	29.6407017654
bullseye	45.4691770035	33.8311927323
bullseye	62.6912665406	30.2903738312
bullseye	73.4286708654	48.5778551303
bullseye	70.846426107	52.282253331
bullseye	71.5390198495	45.5218061588
bullseye	67.6208658884	38.0065584658
bullseye	72.4709525633	51.1221348241
bullseye	64.8122375621	62.8109155873
bullseye	60.8536798727	65.4991470327
bullseye	67.7894961571	61.3637015467
bullseye	41.6095572691	83.8486865559
bullseye	53.0030253202	84.6747986012
bullseye	54.7141710591	84.0431280734
bullseye	44.2916687157	82.9094412144
bullseye	49.1917219555	85.8762291224
bullseye	53.1013817819	84.5476586881
bullseye	51.599848153	84.8198214898
bullseye	54.3797219484	84.2403555494
bullseye	46.4807681047	83.518211666
bullseye	53.174656268	84.2605679876
bullseye	45.272002941	85.2370794195
bullseye	36.03340215	53.371687755
bullseye	28.2711941653	72.840231257
bullseye	25.0548060847	71.5485979221
bullseye	64.7588870014	82.3152236405
bullseye	63.1445274767	85.2366963264
bullseye	50.4246786898	85.1747475891
bullseye	70.6449962629	82.4309187567
bullseye	63.1490490834	83.9468553485
bullseye	62.8240245172	84.9661859507
bullseye	70.236869515	82.1711510621
bullseye	70.0427352449	80.3850213547
bullseye	72.5706234458	80.9712184346
bullseye	75.1307160373	79.9840931403
bullseye	83.2939057345	70.7784317876
bullseye	79.6642622775	73.9323097157
bullseye	88.4321025254	64.6242470023
bullseye	89.1155590082	64.0015066388
bullseye	89.0921976305	57.768193047
bullseye	91.7260057727	52.6233532573
bullseye	91.7355387598	48.9702108877
bullseye	91.5078881747	53.3126520851
bullseye	88.239001904	31.4774348786
bullseye	88.5305192041	30.4760310098
bullseye	55.3651603364	30.4458502777
bullseye	62.5602588694	30.4471356661
bullseye	58.0066691227	30.2537212987
bullseye	55.0671179917	29.0115351997
bullseye	61.6147759612	29.9943911942
bullseye	68.5431435378	35.6578321706
bullseye	77.7061096487	20.3042601852
bullseye	68.4530459999	13.0355285908
bullseye	68.2572064402	12.3846391542
bullseye	70.2554746739	13.2503849689
bullseye	65.0443252778	11.0008414785
bullseye	60.0922466078	11.8721117093
bullseye	52.9920289667	9.90666848335
bullseye	50.1446289773	12.2115430946
bullseye	46.5086141932	11.2071344881
bullseye	43.8070319612	11.3189448865
bullseye	57.8178546865	10.9451424306
bullseye	50.9404926595	9.69154713447
bullseye	63.4973230835	11.9140691707
bullseye	50.0164829541	11.9338520864
bullseye	58.6367650809	11.9747210652
bullseye	54.7302890863	11.4128826732
bullseye	65.8755478023	11.7324363627
bullseye	57.0609827131	9.92056085444
bullseye	46.819907946	10.4946526804
bullseye	38.3593948725	13.431322624
bullseye	47.3154157773	12.853451784
bullseye	55.0519165396	11.9499886181
bullseye	50.5159602579	9.76559162187
bullseye	49.6774146514	10.3831325083
bullseye	67.2806595188	14.1286515323
bullseye	66.1730182606	12.0379170217
bullseye	61.0885441374	10.0845344144
bullseye	66.0530857731	13.3802260073
bullseye	72.6699892655	15.2342259409
bullseye	61.503472503	10.8284144754
bullseye	68.995028632	13.9943105293
bullseye	78.2499161658	17.8832409068
bullseye	36.4819805699	15.1627600944
bullseye	50.9677483784	29.6797742875
bullseye	91.1910536059	46.6743428399
bullseye	55.8637684939	85.3364867573
bullseye	49.2805947987	84.0488228306
bullseye	43.3685015447	84.3321772039
slant_up	47.6952008891	95.2411869282
slant_up	44.6099759113	93.075835032
slant_up	43.8563814822	94.0858717713
slant_up	41.5789293984	90.3035665387
slant_up	49.1774185559	96.6105324538
slant_up	42.6522509813	90.5606397307
slant_up	30.1233318217	81.1442953304
slant_up	31.915519986	79.7904134869
slant_up	27.8877193574	75.4455759934
slant_up	27.5482344526	75.1647590544
slant_up	20.2097781637	67.5166420988
slant_up	24.4434528292	54.4736551228
slant_up	24.6308301331	53.3957388998
slant_up	21.0379688969	49.829299645
slant_up	27.106242932	54.7195531488
slant_up	28.0896176553	60.512212549
slant_up	31.1357349152	61.4319127116
slant_up	37.700837521	68.4184052804
slant_up	43.3926884016	43.5975940692
slant_up	51.2623974761	49.6665051258
slant_up	43.2867129203	43.0568603208
slant_up	55.9059162338	54.2526725342
slant_up	50.198958949	52.2250295948
slant_up	55.761587372	54.0305172396
slant_up	58.3231396505	60.0310591646
slant_up	70.171457528	70.2822212385
slant_up	60.600276471	59.7533088802
slant_up	63.7602750188	61.1856411696
slant_up	54.3894952619	53.811901225
slant_up	55.2412969947	52.5935746267
slant_up	49.0701267502	48.8969446811
slant_up	46.0181190216	46.2577233718
slant_up	44.7595874356	41.9746066134
slant_up	51.6006241332	50.0324668853
slant_up	36.4658820182	35.5241876075
slant_up	33.3947987327	35.0168013145
slant_up	37.5800715749	38.8315722007
slant_up	36.619722059	36.8114141094
slant_up	36.1634664356	33.819314199
slant_up	33.1677570349	31.2477411672
slant_up	42.6449829318	40.1543216386
slant_up	47.2250252695	44.5756466185
slant_up	48.3923630032	50.3315285645
slant_up	27.2451932001	29.8195074488
slant_up	30.4043143388	29.0795399241
slant_up	30.0807992865	27.5880255173
slant_up	33.9806339675	35.0330581489
slant_up	34.2506117649	34.4415865654
slant_up	51.1411835714	20.6183237784
slant_up	49.899592066	19.5640835356
slant_up	55.5898773424	26.2992451143
slant_up	55.4820563581	22.8274662445
slant_up	63.5729393821	32.9386176053
slant_up	59.0250770848	28.3220858801
slant_up	62.4237785929	33.4865952868
slant_up	47.849907703	48.556624645
slant_up	52.2685616825	52.8052401961
slant_up	68.8510215758	39.573434273
slant_up	65.6763960251	35.1093154301
slant_up	77.7468851148	47.3718241139
slant_up	80.352934115	47.8002988852
slant_up	60.3375864858	63.0349593272
slant_up	61.6587233282	64.1000234779
slant_up	71.5450389858	72.657716331
slant_up	49.0409566406	77.3625832678
slant_up	51.8868880222	80.1136076892
slant_up	57.968981435	85.3560457326
slant_up	54.855664646	83.7833976656
slant_up	54.1331954613	83.7939960824
slant_up	51.3088252568	80.1363911553
slant_up	61.1203943844	88.7040529069
slant_up	55.5638650304	85.8103751441
slant_up	55.044123361	83.5414106324
slant_up	50.4441853247	78.1958883115
slant_up	43.8277089981	71.0470522123
slant_up	37.7914323802	66.8546410275
slant_up	29.292783111	59.79199693
slant_up	32.1920969515	60.2006509147
slant_up	51.4339355233	99.2568672885
slant_up	67.4641398118	95.999963905
slant_up	65.1507052757	92.5026337368
slant_up	65.5834276962	93.5170609365
slant_up	69.2889731377	99.5795911254
slant_up	81.2694405511	80.635944933
slant_up	78.5757448361	76.8157030942
slant_up	74.1867734997	74.3442041467
slant_up	72.622209414	74.5269656511
slant_up	75.1415195918	73.8196684648
slant_up	75.168667839	73.9004448762
slant_up	85.3242028911	55.3885788252
slant_up	84.090507598	56.301968006
slant_up	86.2562238205	55.8309303793
slant_up	92.5487933153	42.9019079116
slant_up	90.3426345089	37.7803861004
slant_up	85.8191629042	37.5713861819
slant_up	90.4418181137	40.1331134204
slant_up	92.0175590822	39.9179311324
slant_up	95.2605278366	46.008830272
slant_up	41.2902998033	42.3115524113
slant_up	66.4313243161	36.5361097353
slant_up	63.9863468858	32.7134316129
slant_up	61.2696820905	29.3857240482
slant_up	60.7493891909	28.0517363383
slant_up	64.6552305634	16.6122765086
slant_up	68.6382807138	18.5080128963
slant_up	65.7766651568	16.7876560655
slant_up	71.1341263421	19.3859575313
slant_up	63.7231835039	14.5214211957
slant_up	73.0014940701	24.0738125371
slant_up	72.436657497	20.5783451136
slant_up	68.4127671225	19.9131265443
slant_up	52.8583150204	20.2350610035
slant_up	53.5299526734	24.2419155845
slant_up	50.7597410528	18.0893946004
slant_up	42.53480844	10.1698684594
slant_up	41.5303978512	13.3962907452
slant_up	46.7145179915	15.6132744651
slant_up	48.4506176492	16.2122782224
slant_up	59.6326101247	7.05803719901
slant_up	61.6185682473	13.4108227184
slant_up	48.8339891275	17.7259558674
slant_up	45.3426531889	13.9088123935
slant_up	42.4150122932	11.6937810961
slant_up	58.9347650647	9.36920121911
slant_up	60.6836260407	10.6326415569
slant_up	54.8117983683	6.56964870325
slant_up	61.5868424253	11.0275858356
slant_up	59.7160077628	11.5190968617
slant_up	58.4163840114	5.64577748328
slant_up	59.243809528	10.5401420943
slant_up	56.5943646385	8.91734404523
slant_up	68.4925132247	17.9873634289
slant_up	65.0059431717	15.9126686464
slant_up	63.9210367078	15.6209610332
slant_up	53.5129705438	5.87510952836
slant_up	57.8328062743	9.22238462333
slant_up	31.0329174395	28.9281418896
slant_up	31.3332440932	32.5385694785
slant_up	86.4015498466	38.7469331743
slant_up	47.4421116354	98.1843018589
slant_up	46.2647413368	94.1161921613
slant_up	40.1638157437	87.4486723469
slant_down	52.8720214902	97.3432226575
slant_down	59.0141444945	93.5748748733
slant_down	56.3751090389	96.30514763
slant_down	37.8391996844	94.359443503
slant_down	39.8853734176	90.6346620817
slant_down	44.0774051326	84.1258533023
slant_down	31.4970254888	67.9125621568
slant_down	25.9525965456	73.0331803541
slant_down	36.4347239148	62.2940454639
slant_down	24.997482691	75.4415616626
slant_down	32.2462751352	70.1105868383
slant_down	18.1094722949	53.7081103324
slant_down	21.7960992263	49.4995295248
slant_down	24.150491069	47.1885335266
slant_down	28.6031956015	44.2237227
slant_down	20.9319996761	51.6462354868
slant_down	35.4355325251	34.9610381566
slant_down	44.3773828236	57.6847369215
slant_down	46.313692406	55.6855917703
slant_down	46.3860739231	51.0021645381
slant_down	42.4954400876	56.9036815315
slant_down	44.3005150328	58.1329592781
slant_down	46.9882833458	55.4206367313
slant_down	52.4215231623	47.867005488
slant_down	64.090998189	68.6509850107
slant_down	63.0168717563	68.2252589114
slant_down	67.3025779226	64.4134627173
slant_down	67.2259568904	62.4764105301
slant_down	50.309988715	47.2678818553
slant_down	45.4126389249	53.8707976895
slant_down	54.0206071815	47.2698972057
slant_down	49.8420222483	50.5765522936
slant_down	50.7132995657	48.7722867825
slant_down	55.0455549106	45.9862727459
slant_down	37.5437012597	32.8840244657
slant_down	39.7958978066	28.4432191156
slant_down	28.5233910215	39.7966662481
slant_down	31.3996460012	39.2652632229
slant_down	39.2415652162	33.3614166846
slant_down	27.7140565712	42.2500516253
slant_down	32.9607035213	35.8231112903
slant_down	35.4047362397	31.9391621952
slant_down	51.6422264225	50.8383406788
slant_down	34.207620843	33.5938054385
slant_down	36.5234892198	35.6710483891
slant_down	28.4192021281	21.3157482481
slant_down	26.1604969417	23.0422314726
slant_down	40.435327397	27.6400711421
slant_down	44.544955314	27.3622426221
slant_down	40.1237272008	30.0731619402
slant_down	42.1848064503	28.5736747331
slant_down	40.0026592892	27.4875100027
slant_down	57.1252310509	42.7390191388
slant_down	60.375744968	41.3564579961
slant_down	55.1058961252	46.1490510561
slant_down	61.7372710245	38.5848440052
slant_down	55.7412443246	46.6535769763
slant_down	58.2964084158	41.5831977346
slant_down	57.0425482213	42.418757739
slant_down	76.7756112073	55.2545987009
slant_down	71.8870772602	59.2669926152
slant_down	73.7883730663	58.6208121164
slant_down	75.1396847343	54.2445521781
slant_down	64.5963189058	65.952512925
slant_down	46.9095386323	85.6022611586
slant_down	46.9051031994	81.5656424136
slant_down	49.8069877356	82.085025592
slant_down	48.8632418189	83.1583574877
slant_down	66.7481899024	84.0048341677
slant_down	62.3597662841	90.2436599196
slant_down	47.3748964954	83.4715555182
slant_down	47.4464667165	82.622124014
slant_down	53.385280634	78.8711362558
slant_down	49.4527077733	79.9306028004
slant_down	54.8026825363	75.3639849893
slant_down	37.0882451339	60.857227495
slant_down	32.3759619238	68.5108204552
slant_down	37.4770138847	63.7886855744
slant_down	52.4066488967	96.4254150057
slant_down	50.2970432655	99.6441791736
slant_down	61.5633243835	89.8641388605
slant_down	61.0865603919	89.2243556475
slant_down	59.2364904011	91.4811005766
slant_down	66.1540050863	84.1119370252
slant_down	67.2313347767	85.055640808
slant_down	73.7099068702	78.2706108976
slant_down	76.5804513576	72.8915336827
slant_down	78.8765811639	71.5625276804
slant_down	77.4490021363	72.4473094857
slant_down	86.8537073476	65.5433240194
slant_down	79.806531301	52.7231797883
slant_down	76.9882734745	54.2027848022
slant_down	79.4793575017	49.1410154455
slant_down	82.3041595613	46.9909036215
slant_down	90.700691247	41.4667030063
slant_down	95.4434878077	36.1897016148
slant_down	94.9974880471	35.0953011066
slant_down	91.517847246	36.8902631263
slant_down	62.2926421901	40.0295333141
slant_down	59.2034756073	41.2706776667
slant_down	65.2563927704	32.8541041237
slant_down	62.4447424979	35.4149992261
slant_down	72.4624062907	27.6242638254
slant_down	69.9194262552	29.3110927191
slant_down	77.7628590782	23.4913735562
slant_down	72.7784101997	26.9005353695
slant_down	65.198316667	33.0271717859
slant_down	69.4598588916	30.1970315053
slant_down	59.3150555205	12.3543136666
slant_down	51.487713355	20.8436106875
slant_down	57.1124475509	15.3217851726
slant_down	50.2244178157	19.1709698793
slant_down	50.4338611907	18.5348708515
slant_down	56.3803054046	14.7884597101
slant_down	54.8635045999	14.009611915
slant_down	45.4998576493	3.98542629287
slant_down	49.9367453057	21.5900969196
slant_down	53.8098729164	17.7664144512
slant_down	59.8526782804	9.03994992133
slant_down	48.1756567942	19.5212153543
slant_down	50.7417190667	17.8384056087
slant_down	58.4597612975	14.1486628546
slant_down	50.1145975193	1.74146171252
slant_down	45.4203820755	5.37240899542
slant_down	51.3532681954	0.30387242055
slant_down	53.091704424	19.2900304453
slant_down	58.9431665444	11.6128777918
slant_down	59.3109904219	10.5721363739
slant_down	68.2221986595	1.13388036584
slant_down	62.5117719862	7.49123248279
slant_down	69.3800563617	1.48813233299
slant_down	82.8002478704	18.5293762368
slant_down	85.1603321777	15.0183695439
slant_down	67.095847697	0.601490941965
slant_down	62.307750573	5.74997471945
slant_down	59.9704150458	7.9133104735
slant_down	39.9116351739	32.1440226145
slant_down	39.5965009783	32.1361317349
slant_down	95.5934163965	33.2341293953
slant_down	52.772288113	99.6134716833
slant_down	53.1786144535	98.6038611855
slant_down	37.6270534612	93.060672952
wide_lines	65.8155400946	95.5883740582
wide_lines	65.6722651618	91.9334018119
wide_lines	39.002716451	92.26183816
wide_lines	37.7953028026	93.5324553607
wide_lines	35.5139005857	89.5991901138
wide_lines	39.2194529062	83.5434818364
wide_lines	31.5882013862	77.0280524208
wide_lines	32.6577782482	80.1138612983
wide_lines	31.6415992679	77.6108331874
wide_lines	30.9871426099	63.9440280336
wide_lines	27.4396322054	65.7444629564
wide_lines	30.5783699449	65.5219454667
wide_lines	28.809401637	59.6210044666
wide_lines	27.9395185786	50.9850621313
wide_lines	33.8499497887	46.2844744465
wide_lines	32.628463049	54.0637204929
wide_lines	32.4386500903	49.9030194916
wide_lines	35.8382920833	53.3514883396
wide_lines	37.1420429198	49.7419879519
wide_lines	34.6445467746	54.4441077764
wide_lines	35.675404696	49.6256433471
wide_lines	64.99458547	49.4621728312
wide_lines	66.1291498342	61.6437178853
wide_lines	65.790651882	55.9453737171
wide_lines	67.5017806138	60.8502274659
wide_lines	67.6295142176	61.4291060701
wide_lines	63.9100640599	62.9723349305
wide_lines	66.5493579687	67.7255886599
wide_lines	64.0515417112	48.8200939835
wide_lines	68.1932895833	46.5435408096
wide_lines	65.2783891952	44.8203529292
wide_lines	34.9976613883	28.6329939351
wide_lines	33.9237661692	53.5586885227
wide_lines	66.0044543688	52.6846691452
wide_lines	37.0232562464	32.1184816794
wide_lines	34.6982700852	36.4753541349
wide_lines	34.8634441715	30.9392745218
wide_lines	31.0900650789	32.3837547196
wide_lines	34.9213061465	35.4184380529
wide_lines	30.343361183	32.5245631742
wide_lines	35.4833288685	44.4916349303
wide_lines	33.2349104271	38.502483721
wide_lines	35.4399436182	47.7975176939
wide_lines	33.8735095227	37.056028453
wide_lines	28.5641377966	34.6263997171
wide_lines	31.3195486706	31.6639905316
wide_lines	30.796174379	23.5190343602
wide_lines	34.2333554347	22.4959116015
wide_lines	36.6307877065	31.4768312621
wide_lines	34.5486191018	26.1110878654
wide_lines	37.5196356	29.2676058936
wide_lines	62.4256973267	34.0442062707
wide_lines	64.320383794	31.7856294846
wide_lines	65.4455325117	43.2734991936
wide_lines	64.3256315887	41.6159763773
wide_lines	65.264338195	35.7175447772
wide_lines	66.388704175	38.8447443366
wide_lines	68.1914228192	45.1694864796
wide_lines	68.5406624515	48.4385263389
wide_lines	67.6614312657	51.0685845873
wide_lines	68.6755160534	50.465234811
wide_lines	69.0817099788	55.4740530987
wide_lines	69.048716493	66.3660457477
wide_lines	67.3082233775	71.5902965807
wide_lines	38.714899408	76.3969778172
wide_lines	35.5480948795	89.3049758407
wide_lines	36.7106729424	86.0749670003
wide_lines	64.9126624396	87.6457960566
wide_lines	66.0641357377	89.2086685815
wide_lines	64.9359294757	87.0721381174
wide_lines	67.0265507063	76.2225153324
wide_lines	65.3140322257	77.9387440331
wide_lines	64.2952177764	84.1258572133
wide_lines	38.7980121423	74.6106304299
wide_lines	34.6757573144	79.6375987743
wide_lines	30.7192619427	58.812060082
wide_lines	34.1051509268	64.1291972267
wide_lines	33.4233718511	67.0957433613
wide_lines	66.3138096741	98.9310270371
wide_lines	65.3096314498	98.1651568396
wide_lines	65.7140760682	99.2837639519
wide_lines	67.5934531877	90.9519098246
wide_lines	66.3880173202	89.2812304744
wide_lines	67.8061881135	91.6881773501
wide_lines	70.9626103129	86.5181213517
wide_lines	71.9936371714	78.8209480695
wide_lines	72.4798343312	80.8006830564
wide_lines	74.0784292286	72.9515308522
wide_lines	72.0362880189	69.7160484161
wide_lines	72.9981862717	59.6656447092
wide_lines	74.8121312339	57.5898837631
wide_lines	73.0273050243	46.2741878725
wide_lines	77.067111934	51.4869181896
wide_lines	75.0171368727	46.6224426489
wide_lines	76.6653077326	38.440250966
wide_lines	77.9158742329	45.9268433826
wide_lines	73.7420460836	39.1209853231
wide_lines	75.3298157891	32.8303519164
wide_lines	63.4104355141	38.377735614
wide_lines	68.856486669	43.084147214
wide_lines	66.3377850519	33.3065100022
wide_lines	64.2037185014	26.6441143003
wide_lines	64.4986348346	22.863501327
wide_lines	68.8909906096	27.2962056672
wide_lines	72.371523338	21.9616397473
wide_lines	69.7654249704	19.999850454
wide_lines	68.6213124429	18.9156764428
wide_lines	64.2977371716	20.4287496884
wide_lines	66.6992650902	18.5910853404
wide_lines	67.5445276811	16.4479381344
wide_lines	63.9469519836	18.6928454476
wide_lines	64.3881920705	15.7728122808
wide_lines	65.570045691	23.7657582226
wide_lines	38.4028368753	19.0468586722
wide_lines	37.8323600164	14.4694894463
wide_lines	36.9041611715	13.5838157511
wide_lines	36.286143052	17.1057707266
wide_lines	62.7866325947	13.9189931024
wide_lines	66.8176792234	11.4124971575
wide_lines	66.755021412	18.0853051378
wide_lines	65.4155283864	10.4635122068
wide_lines	36.9463314417	13.5143774996
wide_lines	37.8254347391	9.60103429534
wide_lines	36.722837943	9.33330210686
wide_lines	67.0733217806	6.04921458162
wide_lines	64.601818107	12.0019169643
wide_lines	65.4372821806	15.5453860785
wide_lines	67.0040223792	15.3458266393
wide_lines	66.7241920702	5.24980548075
wide_lines	68.3076187632	13.2809165227
wide_lines	68.7680482759	13.5214565521
wide_lines	74.1672717461	5.34988087254
wide_lines	64.9003579699	16.2452583689
wide_lines	68.7634335463	8.70057294385
wide_lines	66.8169139163	12.2732943361
wide_lines	67.3093466467	0.217006270014
wide_lines	34.7318293093	19.6017950724
wide_lines	33.6744421497	26.09049021
wide_lines	75.6272550236	37.128751949
wide_lines	40.6101254225	89.1362398699
wide_lines	39.1143664549	96.4817513202
wide_lines	34.5838289299	89.5889019877
